title,year,authors,publication_link,author_links,page_number
How consistent are measures of financial liberalization in assessing its impact on bank cost efficiency? A cross–country empirical analysis,2024,"How consistent are measures of financial liberalization in assessing its impact on bank cost efficiency? A cross–country empirical analysisDe Vita, Tanna",https://pureportal.coventry.ac.uk/en/publications/how-consistent-are-measures-of-financial-liberalization-in-assess,,1
Impact of attention on rare events across industries in Indonesia,2024,"Impact of attention on rare events across industries in IndonesiaHariyanto, Khresna Brahmana",https://pureportal.coventry.ac.uk/en/publications/impact-of-attention-on-rare-events-across-industries-in-indonesia,,1
"Insider trading, gender diversity within the board room, CEO pay gap, and stock price crash risk",2024,,https://pureportal.coventry.ac.uk/en/publications/insider-trading-gender-diversity-within-the-board-room-ceo-pay-ga,,1
Insider Trading and CEO Pay-Gap Induced Turnover,2024,"Insider Trading and CEO Pay-Gap Induced TurnoverLe, Nguyen",https://pureportal.coventry.ac.uk/en/publications/insider-trading-and-ceo-pay-gap-induced-turnover,,1
Insider Trading before Earnings News: The Role of Executive Pay Disparity,2024,"Insider Trading before Earnings News: The Role of Executive Pay DisparityNguyen, A.-N.",https://pureportal.coventry.ac.uk/en/publications/insider-trading-before-earnings-news-the-role-of-executive-pay-di,,1
"National culture, religiosity, and audited financial statements of small-scale MNCs",2024,"National culture, religiosity, and audited financial statements of small-scale MNCsKontesa",https://pureportal.coventry.ac.uk/en/publications/national-culture-religiosity-and-audited-financial-statements-of-,,1
Performance measurement in urban development: unfolding a case of sustainability KPIs reporting,2024,"Performance measurement in urban development: unfolding a case of sustainability KPIs reportingAlsaid, L. & Ambilichu",https://pureportal.coventry.ac.uk/en/publications/performance-measurement-in-urban-development-unfolding-a-case-of-,,1
Performance of shariah-compliant and non-shariah-compliant ETFs: a comparative study,2024,"Performance of shariah-compliant and non-shariah-compliant ETFs: a comparative studyPrati, A. H., Ashfaq",https://pureportal.coventry.ac.uk/en/publications/performance-of-shariah-compliant-and-non-shariah-compliant-etfs-a,,1
Students’ development of employability skills through an online international hackathon,2024,"Students’ development of employability skills through an online international hackathonSurendran, J. Edwards",https://pureportal.coventry.ac.uk/en/publications/students-development-of-employability-skills-through-an-online-in,,1
Sustainability Management Accounting in Urban Development: A Case Study of an Egyptian State-Owned Enterprise,2024,"Sustainability Management Accounting in Urban Development: A Case Study of an Egyptian State-Owned EnterpriseAlsaid, L. & Mutiganda, J. C.",https://pureportal.coventry.ac.uk/en/publications/sustainability-management-accounting-in-urban-development-a-case-,,1
The cyclicality of the finance premium over the business cycle,2024,"The cyclicality of the finance premium over the business cycleBratsiotis, G. J. & Kalubowila, C. D.",https://pureportal.coventry.ac.uk/en/publications/the-cyclicality-of-the-finance-premium-over-the-business-cycle,,1
"The Finance Growth Nexus, Institutions Matter: Evidence from The A10 Countries of The Eu",2024,"The Finance Growth Nexus, Institutions Matter: Evidence from The A10 Countries of The EuUdeogu",https://pureportal.coventry.ac.uk/en/publications/the-finance-growth-nexus-institutions-matter-evidence-from-the-a1,,1
The global financial crisis impact on stock market efficiency: a Fourier unit root tests analysis,2024,"The global financial crisis impact on stock market efficiency: a Fourier unit root tests analysisShaik, Kamdar",https://pureportal.coventry.ac.uk/en/publications/the-global-financial-crisis-impact-on-stock-market-efficiency-a-f,,1
"The Impact of Maoism on the Architectural Vocabulary, Urban Form and Structure in the Cities of China",2024,"The Impact of Maoism on the Architectural Vocabulary, Urban Form and Structure in the Cities of ChinaKozlowski",https://pureportal.coventry.ac.uk/en/publications/the-impact-of-maoism-on-the-architectural-vocabulary-urban-form-a,,1
"The impact of the global financial crisis and the European sovereign debt crisis on the capital structure of firms in Europe: Do SMEs, and listed firms respond the same?",2024,"The impact of the global financial crisis and the European sovereign debt crisis on the capital structure of firms in Europe: Do SMEs, and listed firms respond the same?Bvirindi, T. & Ode-Ichakpa",https://pureportal.coventry.ac.uk/en/publications/the-impact-of-the-global-financial-crisis-and-the-european-sovere,,1
The Influence of Job Stress on Organizational Commitment Among Workers in the Palm Oil Industry: Does Job Satisfaction Matter?,2024,"The Influence of Job Stress on Organizational Commitment Among Workers in the Palm Oil Industry: Does Job Satisfaction Matter?Noor, N. A. M., E-Vahdati",https://pureportal.coventry.ac.uk/en/publications/the-influence-of-job-stress-on-organizational-commitment-among-wo,,1
The interaction effect of board characteristics and ESG reporting on the financial performance of multinational enterprises: a quantile regression approach,2024,"The interaction effect of board characteristics and ESG reporting on the financial performance of multinational enterprises: a quantile regression approachElmghaamez, Zarei",https://pureportal.coventry.ac.uk/en/publications/the-interaction-effect-of-board-characteristics-and-esg-reporting,,1
Triple-Entry Accounting and System Integration,2024,Triple-Entry Accounting and System IntegrationPetratos,https://pureportal.coventry.ac.uk/en/publications/triple-entry-accounting-and-system-integration,,1
Vulnerability of a developing stock market to openness: one-way return and volatility transmissions,2024,,https://pureportal.coventry.ac.uk/en/publications/vulnerability-of-a-developing-stock-market-to-openness-one-way-re,,1
ABC as a multi-lens sustainability reporting system in smart cities,2023,"ABC as a multi-lens sustainability reporting system in smart citiesAlsaid, L. & Mutiganda, J. C.",https://pureportal.coventry.ac.uk/en/publications/abc-as-a-multi-lens-sustainability-reporting-system-in-smart-citi,,1
Assessing Plastic Circular Economy Policies and the Use of Digital Technology in Africa,2023,Assessing Plastic Circular Economy Policies and the Use of Digital Technology in AfricaAjala,https://pureportal.coventry.ac.uk/en/publications/assessing-plastic-circular-economy-policies-and-the-use-of-digita,,1
Assessing the Determinants of Participation in the Circular Plastic Economy by Nigerian Students,2023,"Assessing the Determinants of Participation in the Circular Plastic Economy by Nigerian StudentsOkoya, S. A., Oyinlola",https://pureportal.coventry.ac.uk/en/publications/assessing-the-determinants-of-participation-in-the-circular-plast,,1
Assessing the Use of Gold as a Zero-Beta Asset in Empirical Asset Pricing: Application to the US Equity Market,2023,"Assessing the Use of Gold as a Zero-Beta Asset in Empirical Asset Pricing: Application to the US Equity MarketAbdullah, Abdou",https://pureportal.coventry.ac.uk/en/publications/assessing-the-use-of-gold-as-a-zero-beta-asset-in-empirical-asset,,1
Audit Committee and Dividend Policy of Financial Firms in Malaysia,2023,"Audit Committee and Dividend Policy of Financial Firms in MalaysiaHasan, R. & Ashfaq",https://pureportal.coventry.ac.uk/en/publications/audit-committee-and-dividend-policy-of-financial-firms-in-malaysi,,1
Ayondo Ltd. Corporate Governance Issues of First FinTech Company Listed on the Catalist Board of Singapore Exchange,2023,"Ayondo Ltd. Corporate Governance Issues of First FinTech Company Listed on the Catalist Board of Singapore ExchangeTiong, P. N. C.",https://pureportal.coventry.ac.uk/en/publications/ayondo-ltd-corporate-governance-issues-of-first-fintech-company-l,,1
Bank stock valuation theories: do they explain prices based on theories?,2023,"Bank stock valuation theories: do they explain prices based on theories?Leong, K. Y., Ariff",https://pureportal.coventry.ac.uk/en/publications/bank-stock-valuation-theories-do-they-explain-prices-based-on-the,,1
Benefits on the Margin from Public Spending across Healthcare Levels and Geopolitical Zones in Nigeria,2023,,https://pureportal.coventry.ac.uk/en/publications/benefits-on-the-margin-from-public-spending-across-healthcare-lev,,1
Cash Holdings and R&D Intensity with Different Controlling Shareholders,2023,"Cash Holdings and R&D Intensity with Different Controlling ShareholdersBrahmana, R. K., Setiawan",https://pureportal.coventry.ac.uk/en/publications/cash-holdings-and-rampd-intensity-with-different-controlling-shar,,1
CEO Duality and Firm Performance: A Systematic Review and Research Agenda,2023,CEO Duality and Firm Performance: A Systematic Review and Research AgendaYu,https://pureportal.coventry.ac.uk/en/publications/ceo-duality-and-firm-performance-a-systematic-review-and-research,,1
Competing Institutional Logics and Power Dynamics in Islamic Financial Reporting Standardisation Projects,2023,"Competing Institutional Logics and Power Dynamics in Islamic Financial Reporting Standardisation ProjectsAbras, A. & Jayasinghe",https://pureportal.coventry.ac.uk/en/publications/competing-institutional-logics-and-power-dynamics-in-islamic-fina,,1
"Corporate Governance and Financial Performance of Firms Listed on Asian Pacific Stocks: Evidence from Malaysia, Thailand, and Singapore",2023,"Corporate Governance and Financial Performance of Firms Listed on Asian Pacific Stocks: Evidence from Malaysia, Thailand, and SingaporeElmghaamez",https://pureportal.coventry.ac.uk/en/publications/corporate-governance-and-financial-performance-of-firms-listed-on,,1
Corporate Political Activity and Bribery in Africa: Do Internet Penetration and Foreign Ownership Matter?,2023,,https://pureportal.coventry.ac.uk/en/publications/corporate-political-activity-and-bribery-in-africa-do-internet-pe,,1
"Corporate Sustainability Orientation, Sustainable Development Practices, and Firm Performance of MSMEs in Malaysia",2023,,https://pureportal.coventry.ac.uk/en/publications/corporate-sustainability-orientation-sustainable-development-prac,,1
Determinants of Digital Innovation in Micro and Small Industries,2023,"Determinants of Digital Innovation in Micro and Small IndustriesMartini, Setiawan",https://pureportal.coventry.ac.uk/en/publications/determinants-of-digital-innovation-in-micro-and-small-industries,,1
Do board characteristics moderate the relationship between political connections and cash holdings? insight from Asian countries,2023,"Do board characteristics moderate the relationship between political connections and cash holdings? insight from Asian countriesAbdullah, Hashmi, M. A.",https://pureportal.coventry.ac.uk/en/publications/do-board-characteristics-moderate-the-relationship-between-politi,,1
Does natural resource curse in finance exist in Africa? Evidence from spatial techniques,2023,,https://pureportal.coventry.ac.uk/en/publications/does-natural-resource-curse-in-finance-exist-in-africa-evidence-f,,1
Does shared tenure between audit committee chair and engagement partner affect audit outcomes? Evidence from the UK,2023,,https://pureportal.coventry.ac.uk/en/publications/does-shared-tenure-between-audit-committee-chair-and-engagement-p,,1
Do insider investment horizons contain information? Evidence from Australia,2023,,https://pureportal.coventry.ac.uk/en/publications/do-insider-investment-horizons-contain-information-evidence-from-,,1
Evaluating the failure of British Home Stores (BHS): A case study using Taffler Z-score model and SWOT analysis,2023,"Evaluating the failure of British Home Stores (BHS): A case study using Taffler Z-score model and SWOT analysisElmghaamez, I. & Adhikari Parajuli",https://pureportal.coventry.ac.uk/en/publications/evaluating-the-failure-of-british-home-stores-bhs-a-case-study-us,,1
"Fake news, misinformation, disinformation and supply chain risks and disruptions: risk management and resilience using blockchain",2023,,https://pureportal.coventry.ac.uk/en/publications/fake-news-misinformation-disinformation-and-supply-chain-risks-an,,1
"Financial inclusion, corporate social responsibility and firm performance – analysis of interactive relationship",2023,"Financial inclusion, corporate social responsibility and firm performance – analysis of interactive relationshipBhattacharyya, A. & Khan",https://pureportal.coventry.ac.uk/en/publications/financial-inclusion-corporate-social-responsibility-and-firm-perf,,1
Financial inclusion – does digital financial literacy matter for women entrepreneurs?,2023,"Financial inclusion – does digital financial literacy matter for women entrepreneurs?Hasan, Ashfaq",https://pureportal.coventry.ac.uk/en/publications/financial-inclusion-does-digital-financial-literacy-matter-for-wo,,1
Global trends in board diversity research: a bibliometric view,2023,"Global trends in board diversity research: a bibliometric viewKhatib, S. F. A., Abdullah",https://pureportal.coventry.ac.uk/en/publications/global-trends-in-board-diversity-research-a-bibliometric-view,,1
How do credit ratings affect corporate investment efficiency?,2023,"How do credit ratings affect corporate investment efficiency?Xiao, D. & Yu",https://pureportal.coventry.ac.uk/en/publications/how-do-credit-ratings-affect-corporate-investment-efficiency,,1
"Insider Trading, Executive Pay Disparity and CEO Turnover",2023,,https://pureportal.coventry.ac.uk/en/publications/insider-trading-executive-pay-disparity-and-ceo-turnover,,1
Islamic Home Finance in the UK: A Partial Least Square Structural Equation Modelling Approach,2023,"Islamic Home Finance in the UK: A Partial Least Square Structural Equation Modelling ApproachAhmed, Kabir",https://pureportal.coventry.ac.uk/en/publications/islamic-home-finance-in-the-uk-a-partial-least-square-structural-,,2
Luckin Coffee: A Look at Corporate Governance in the Chinese Market,2023,"Luckin Coffee: A Look at Corporate Governance in the Chinese MarketZhang, Y. & Obot",https://pureportal.coventry.ac.uk/en/publications/luckin-coffee-a-look-at-corporate-governance-in-the-chinese-marke,,2
"L’impact du Maoïsme sur le vocabulaire architectural, les formes et les structures urbaines des villes de Chine",2023,"L’impact du Maoïsme sur le vocabulaire architectural, les formes et les structures urbaines des villes de ChineTranslated title of the contribution: The impact of Maoism on the architectural vocabulary, forms",https://pureportal.coventry.ac.uk/en/publications/limpact-du-mao%C3%AFsme-sur-le-vocabulaire-architectural-les-formes-et,,2
Market Reactions to Insider Trading Prior to Corporate Earnings Disclosure. Does Executive Pay Disparity Play Any Role?,2023,,https://pureportal.coventry.ac.uk/en/publications/market-reactions-to-insider-trading-prior-to-corporate-earnings-d,,2
Measuring the impact of corporate governance on non-financial reporting in the top HEIs worldwide,2023,"Measuring the impact of corporate governance on non-financial reporting in the top HEIs worldwideAdhikari Parajuli, Chhatbar",https://pureportal.coventry.ac.uk/en/publications/measuring-the-impact-of-corporate-governance-on-non-financial-rep,,2
Natural resource curse: A literature survey and comparative assessment of regional groupings of oil-rich countries.,2023,"Natural resource curse: A literature survey and comparative assessment of regional groupings of oil-rich countries. Alssadek, M. & Benhin",https://pureportal.coventry.ac.uk/en/publications/natural-resource-curse-a-literature-survey-and-comparative-assess,,2
